time,acc_x_1,acc_y_1,acc_z_1_1,acc_x_2,acc_y_2,acc_z_1_2,gyro_1_1,gyro_2_1,gyro_3_1,gyro_1_2,gyro_2_2,gyro_3_2,altitude,temperature
52.645,2.75812,5.209782,0.4596867,2.691082,5.975928,0,0.08979784,0.08979784,0.2483431,0.024647776,0.024647776,0.54798,10.386776,28.30586
52.96302,0.7086838,0.4070143,3.31597,-9.95988,0.1556231,0,0.6161946,0.6161946,1.919862,0.0085268,0.0085268,0.018785608,10.754056,28.33047
53.28199,-3.562572,0.01915361,6.291962,3.227384,1.273715,0,1.23159,1.23159,0.0387703,1.510309,1.510309,0.002664626,10.949584,28.32813
53.6,2.578555,2.782062,5.365406,3.193865,2.91135,0,0.7162512,0.7162512,0.2781868,0.8185726,0.8185726,0.4094196,11.290436,28.33047
54.066,0.9289502,0.6153098,0.9289502,1.381454,0.02633622,0,-0.8099128,-0.8099128,0.0170536,-0.925424,-0.925424,0.9705898,11.160968,28.3082
54.382,1.422156,2.451662,4.596868,2.480393,1.991976,0,0.6011394,0.6011394,0.8484166,0.2739234,0.2739234,0.209173,10.949584,28.33047
54.69599,4.989516,0.1244985,0.3878607,3.217807,1.7262192,0,0.1364288,0.1364288,0.5744932,0.1412251,0.1412251,0.549046,11.303648,28.32559
55.019,1.2282252,0.4596867,0.6512228,0.6129156,0.009576806,0,2.119709,2.119709,0.16867076,0.0,0.0,0.0758086,11.330072,28.33047
55.33399,6.742072,0.1532289,2.475604,6.818686,0.3160346,0,0.6934686,0.6934686,0.1566799,0.824568,0.824568,0.2061087,11.20324,28.33554
55.65,0.0,0.23223752,0.6368576,0.5770026,0.06464346,0,0.2736569,0.2736569,0.4264733,0.14628792,0.14628792,0.3513308,11.007716,28.32559
55.96601,1.225831,0.04070142,0.3950433,1.458069,4.443638,0,1.1280684,1.1280684,0.01945176,1.1067516,1.1067516,0.0170536,11.04999,28.32305
56.288,0.0,0.01436521,4.903324,0.1651999,0.07900866,0,0.8189724,0.8189724,-1.0914304,1.1703036,1.1703036,-0.9550014,11.079052,28.30332
56.758,0.6153098,0.8810662,1.3024456,1.225831,5.473146,0,-1.6318168,-1.6318168,0.5547748,-1.8289988,-1.8289988,0.5819538,11.499176,28.27363
57.073,0.01915361,0.05746084,0.617704,0.03830722,0.3064578,0,1.125537,1.125537,0.0023981624,1.1196752,1.1196752,0.23928332,11.303648,28.30586
57.389,1.37906,0.08619126,1.3862424,1.6089036,2.643198,0,0.307631,0.307631,0.0341072,0.3007028,0.3007028,0.2751226,11.232304,28.31328
57.70899,2.149993,0.5195418,5.056554,2.152387,0.3830723,0,0.0002664625,0.0002664625,0.00106585,0.0191853,0.0191853,0.0682144,11.4569,28.31562
